A股代码,A股简称,H股代码,H股简称,最新价,总市值(亿),每股收益,每股净资产,市净率,股息率(%),动态市盈率,静态市盈率,市盈率TTM,成立日期,上市日期,所属市场,所属行业,入选指数,主营业务
2869,金溢科技,,,20.98,33.05,0.69,33.55,1.76,-15.29,205.61,47.13,-94.0,2004-05-20,2017-05-15,深交所主板,计算机、通信和其他电子设备制造业,"国证2000,国证Ａ指",智慧交通和物联网领域身份识别与电子支付的应用开发、产品创新与推广
2870,香山股份,,,36.92,47.9,1.56,43.68,2.94,19.87,51.37,51.37,51.37,1999-06-22,2017-05-15,深交所主板,汽车制造业,"国证2000,国证Ａ指",衡器相关产品生产
2871,伟隆股份,,,18.08,27.01,10.36,22.7,4.11,93.83,31.57,34.8,33.22,1995-06-08,2017-05-11,深交所主板,通用设备制造业,国证Ａ指,给排水阀门产品的设计、研发、生产和销售，为城镇给排水系统、消防给水系统、空调暖通系统以及污水处理系统等下游应用领域提供产品及解决方案。
2872,ST天圣,,,4.96,10.66,-3.66,5.81,0.8,23.69,-16.36,-18.05,-26.09,2001-10-16,2017-05-19,深交所主板,医药制造业,,医药制造与医药流通业务
2873,新天药业,,,9.36,22.44,0.43,15.19,1.82,7.07,250.76,250.76,250.76,1995-08-11,2017-05-19,深交所主板,医药制造业,国证Ａ指,中成药的研发、生产和销售
2875,安奈儿,,,22.72,41.45,-9.32,24.31,7.53,83.82,-48.57,-42.21,-57.87,2001-09-20,2017-06-01,深交所主板,纺织服装、服饰业,国证Ａ指,“Annil安奈儿”品牌童装的研发设计、供应链管理、品牌运营及产品销售。
2876,三利谱,,,28.9,43.04,0.77,31.16,2.11,20.32,106.72,106.72,106.72,2007-04-16,2017-05-25,深交所主板,计算机、通信和其他电子设备制造业,"国证2000,国证Ａ指",偏光片产品的研发、生产和销售。
2877,智能自控,,,8.77,21.09,0.25,12.0,2.57,10.59,523.25,137.49,138.1,2001-11-12,2017-06-05,深交所主板,通用设备制造业,国证Ａ指,智能控制阀及其配件的研发、生产和销售以及检维修服务。
2878,元隆雅图,,,18.34,43.27,-9.41,27.42,3.73,33.48,-23.73,-19.64,401.05,1998-05-26,2017-06-06,深交所主板,商务服务业,"国证2000,国证Ａ指",（1）为客户供应促销品（包含方案创意策划、促销品设计研发、采购和销售），收入体现为产品销售收入；（2）为客户提供促销服务，包括数字化促销服务（包含数字化促销方案的创意策划、促销品电商平台和数字化促销活动平台的开发建设及运营维护、数字化促销品的采购及发放、基于数字化平台的仓储运输服务、平台运营数据的收集和分析等）和仓储运输服务等，收入体现为服务收入。
2879,长缆科技,,,21.46,29.59,5.55,24.42,2.53,45.09,30.98,30.98,30.98,1997-12-23,2017-07-07,深交所主板,电气机械和器材制造业,国证Ａ指,电力电缆附件及配套产品的研发、生产、销售及服务。
2880,卫光生物,,,26.11,59.22,6.75,33.79,2.55,-6.95,25.9,23.36,28.13,2001-10-22,2017-06-16,深交所主板,医药制造业,"国证Ａ指,深市精选",生物制品研发、生产及销售
2881,美格智能,3268.0,美格智能,39.18,71.28,4.81,61.75,6.95,-13.76,82.91,82.91,82.91,2007-04-05,2017-06-22,深交所主板,计算机、通信和其他电子设备制造业,"国证2000,国证Ａ指,深市精选,中小300,中小创新",4G技术行业应用及精密组件
2882,金龙羽,,,27.81,68.63,2.25,41.0,5.69,67.83,112.52,112.52,112.52,1996-04-12,2017-07-17,深交所主板,电气机械和器材制造业,"国证2000,国证Ａ指,深市精选,中小创新",电线电缆的研发、生产、销售与服务。
2883,中设股份,,,9.39,14.4,-4.16,16.79,2.26,-7.76,-41.5,144.25,-41.73,1987-08-20,2017-06-20,深交所主板,专业技术服务业,国证Ａ指,中国城市建设和交通建设领域的规划咨询及勘察设计、工程监理、项目管理等
2884,凌霄泵业,,,18.78,51.28,17.4,19.29,2.78,26.21,14.77,14.77,14.77,1993-05-15,2017-07-11,深交所主板,通用设备制造业,"国证2000,国证Ａ指,深市精选,中小创新",民用离心泵的研发、设计、生产及销售。
2885,京泉华,,,31.08,71.77,2.04,37.36,5.72,144.76,124.29,220.31,87.87,1996-06-25,2017-06-27,深交所主板,计算机、通信和其他电子设备制造业,"国证2000,国证Ａ指",磁性元器件、电源及特种变压器研发、生产及销售业务。
2886,沃特股份,,,22.6,47.25,1.7,26.56,3.23,25.71,92.37,92.37,92.37,2001-12-28,2017-06-27,深交所主板,橡胶和塑料制品业,"国证2000,国证Ａ指",改性工程塑料合金、改性通用塑料以及高性能功能高分子材料的研发、生产、销售和技术服务。
2887,绿茵生态,,,12.67,27.52,3.05,13.26,1.69,84.16,32.69,38.81,41.34,1998-11-26,2017-08-01,深交所主板,生态保护和环境治理业,国证Ａ指,生态环境建设工程。
2888,惠威科技,,,18.69,14.0,3.78,22.89,7.26,11.74,163.58,278.91,208.3,1997-06-24,2017-07-21,深交所主板,计算机、通信和其他电子设备制造业,国证Ａ指,各类音响设备、扬声器的研发、生产和销售
2889,东方嘉盛,,,13.38,33.62,3.18,17.48,2.01,-10.27,32.93,26.39,26.79,2001-07-09,2017-07-31,深交所主板,商务服务业,"国证2000,国证Ａ指,深市精选",提供综合供应链管理服务。
2890,弘宇股份,,,15.49,25.01,1.38,17.88,4.39,36.67,254.22,254.22,254.22,1999-01-20,2017-08-02,深交所主板,专用设备制造业,国证Ａ指,拖拉机液压提升器的研发、生产和销售
2891,中宠股份,,,42.53,136.9,8.84,73.8,3.61,-11.82,39.44,37.5,46.82,2002-01-18,2017-08-21,深交所主板,农副食品加工业,"国证2000,国证Ａ指,深市精选,中小300,中小创新",犬用及猫用宠物食品的研发、生产和销售。
2892,科力尔,,,10.9,52.69,1.23,17.6,6.23,-16.42,234.02,135.1,134.3,2010-09-08,2017-08-17,深交所主板,电气机械和器材制造业,"国证2000,国证Ａ指,深市精选,中小300,中小创新",微特电机的开发、生产与销售。
2893,京能热力,,,10.78,21.86,3.4,14.56,2.34,6.65,34.68,42.57,36.85,2002-12-12,2017-09-15,深交所主板,电力、热力生产和供应业,国证Ａ指,热力供应、节能技术服务。
2895,川恒股份,,,35.71,212.46,9.72,46.02,2.82,70.09,17.17,17.17,17.17,2002-11-25,2017-08-25,深交所主板,化学原料和化学制品制造业,"国证2000,国证Ａ指,深市精选,中小300,中小创新",磷酸及磷酸盐产品的生产、销售。
2896,中大力德,,,71.1,139.73,3.37,109.35,11.63,-1.05,222.83,222.83,222.83,2006-08-28,2017-08-29,深交所主板,通用设备制造业,"国证2000,国证Ａ指,中小300,中小创新",机械传动与控制应用领域关键零部件的研发、生产、销售和服务。
2897,意华股份,,,66.64,121.57,2.57,76.2,4.7,67.44,79.75,104.05,35.95,1995-12-23,2017-09-07,深交所主板,电气机械和器材制造业,"国证2000,国证Ａ指,深市精选,中小创新",连接器及其组件产品的研发、生产和销售。
2898,*ST赛隆,,,10.73,10.87,-8.76,17.49,4.1,65.84,-27.04,-56.98,-35.06,2002-04-03,2017-09-12,深交所主板,医药制造业,,药品的研发、生产、营销及技术服务。
2899,英派斯,,,32.99,48.76,2.56,36.3,2.8,58.41,67.2,44.68,72.06,2004-06-23,2017-09-15,深交所主板,文教、工美、体育和娱乐用品制造业,国证Ａ指,全品类、多系列健身器材开发、制造、销售及品牌化运营。
2900,哈三联,,,10.66,17.18,-5.37,17.86,1.77,-9.43,-17.68,57.47,-12.11,1996-06-21,2017-09-22,深交所主板,医药制造业,"国证2000,国证Ａ指",小容量注射剂、冻干粉针剂、固体制剂、非PVC软袋大输液、塑瓶大输液、玻瓶大输液、原料药、医疗器械及化妆品等产品的研发、生产和销售
2901,大博医疗,,,43.86,126.52,12.54,66.5,5.09,25.71,30.28,30.28,30.28,2004-08-12,2017-09-22,深交所主板,专用设备制造业,"国证Ａ指,巨潮小盘,深成指R,深证成指,中小300",医用高值耗材的生产、研发与销售
2902,铭普光磁,,,27.02,48.0,-12.94,31.95,7.52,57.83,-21.12,-21.85,-31.84,2008-06-25,2017-09-29,深交所主板,计算机、通信和其他电子设备制造业,国证Ａ指,网络通信领域内通信磁性元器件、通信光电部件、通信供电系统设备及通信电源的高新技术产品制造
2903,宇环数控,,,31.73,33.85,-1.03,35.5,6.32,52.4,-253.41,-253.41,-253.41,2004-08-04,2017-10-13,深交所主板,通用设备制造业,国证Ａ指,数控磨削设备及智能装备的研发、生产、销售与服务，为客户提供精密磨削与智能制造技术综合解决方案。
